# stap syscalls_by_pid.stp
Collecting data... Type Ctrl-C to exit and display results
^C
#SysCalls  PID
2293       31866
765        31081
567        30983
557        30965
554        31008
523        30985
273        30991
118        9585
115        2130
77         30928
65         1988
50         31006
42         2492
40         31077
36         2487
35         2490
23         2257
22         2366
20         8682
20         2048
17         31197
16         31067
14         2313
10         31011
8          1
5          31074
3          1978
3          1975
3          2467
3          30932

